stdAR,stdFA,MV1,MV2,stdMV1,stdMV2,stdC1,stdC2,stdO,ER,stdHB,Results
0,0,0,0,0,0,0,0,0,0,0.554729953,NO
0,0,0,0,0,0,0,0,0,0,0.596810334,NO
0,0,0,0,0,0,0,0,0,0,0.641892884,NO
0,0,0,0,0,0,0,0,0,0,0.679823359,NO
0,0,0,0,0,0,0,0,0,0,0.742858967,NO
0,0,0,0,0,0,0,0,0,0,0.789472007,NO
0,0,0,0,0,0,0,0,0,0,0.81382613,NO
0,0,0,0,0,0,0,0,0,0,0.843753554,NO
0,0,0,0,0,0,0,0,0,0,0.873010957,NO
0,0,0,0,0,0,0,0,0,0,0.905752764,NO
0,0,0,0,0,0,0,0,0,0,0.938772184,NO
0,0,0,0,0,0,0,0,0,0,1.082764771,NO
0,0,0,0,0,0,0,0,0,0,1.206444622,NO
0,0,0,0,0,0,0,0,0,0,1.332369865,NO
0,0,0,0,0,0,0,0,0,0,1.462004601,NO
0,0,0,0,0,0,0,0,0,0,1.608543792,NO
0,0,0,0,0,0,0,0,0,0,1.841514968,NO
0,0,0,0,0,0,0,0,0,0,2.024435429,NO
0,0,0,0,0,0,0,0,0,0,2.171253129,NO
0,0,0,0,0,0,0,0,0,0,2.291152384,NO
0,0,0,0,0,0,0,0,0,0,2.40224658,NO
0,0,0,0,0,0,0,0,0,0,2.503201102,NO
0,0,0,0,0,0,0,0,0,0,2.583231334,NO
0,0,0,0,0,0,0,0,0,0,2.654370498,NO
0,0,0,0,0,0,0,0,0,0,2.720408915,NO
0,0,0,0,0,0,0,0,0,0,2.776824241,NO
0,0,0,0,0,0,0,0,0,0,2.81873149,NO
0,0,0,0,0,0,0,0,0,0,2.836729132,NO
0,0,0,0,0,0,0,0,0,0,2.826098716,NO
0,0,0,0,0,0,0,0,0,0,2.798461513,NO
0,0,0,0,0,0,0,0,0,0,2.752479141,NO
0,0,0,0,0,0,0,0,0,0,2.687161147,NO
0,0,0,0,0,0,0,0,0,0,2.58699996,NO
0,0,0,0,0,0,0,0,0,0,2.464312789,NO
0,0,0,0,0,0,0,0,0,0,2.355401559,NO
0,0,0,0,0,0,0,0,0,0,2.243638888,NO
0,0,0,0,0,0,0,0,0,0,2.125639684,NO
0,0,0,0,0,0,0,0,0,0,2.017341003,NO
0,0,0,0,0,0,0,0,0,0,1.92171046,NO
0,0,0,0,0,0,0,0,0,0,1.883065617,NO
0,0,0,0,0,0,0,0,0,0,1.962026888,NO
0,0,0,0,0,0,0,0,0,0,2.160100432,NO
0,0,0,0,0,0,0,0,0,0,2.352708664,NO
0,0,0,0,0,0,0,0,0,0,2.558933599,NO
0,0,0,0,0,0,0,0,0,0,2.7645042,NO
0,0,0,0,0,0,0,0,0,0,2.959176372,NO
0,0,0,0,0,0,0,0,0,0,3.12192954,NO
0,0,0,0,0,0,0,0,0,0,3.263094605,NO
0,0,0,0,0,0,0,0,0,0,3.383051851,NO
0,0,0,0,0,0,0,0,0,0,3.484751486,NO
0,0,0,0,0,0,0,0,0,0,3.553407104,NO
0,0,0,0,0,0,0,0,0,0,3.585298033,NO
0,0,0,0,0,0,0,0,0,0,3.59182515,NO
0,0,0,0,0,0,0,0,0,0,3.573745822,NO
0,0,0,0,0,0,0,0,0,0,3.520746252,NO
0,0,0,0,0,0,0,0,0,0,3.448711301,NO
0,0,0,0,0,0,0,0,0,0,3.338409028,NO
0,0,0,0,0,0,0,0,0,0,3.199314153,NO
0,0,0,0,0,0,0,0,0,0,3.034016518,NO
0,0,0,0,0,0,0,0,0,0,2.834867757,NO
0,0,0,0,0,0,0,0,0,0,2.572812511,NO
0,0,0,0,0,0,0,0,0,0,2.270450553,NO
0,0,0,0,0,0,0,0,0,0,1.983622933,NO
0,0,0,0,0,0,0,0,0,0,1.789896372,NO
0,0,0,0,0,0,0,0,0,0,1.589480389,NO
0,0,0,0,0,0,0,0,0,0,1.365894592,NO
0,0,0,0,0,0,0,0,0,0,1.142906752,NO
0,0,0,0,0,0,0,0,0,0,0.962702845,NO
0,0,0,0,0,0,0,0,0,0,0.82850949,NO
0,0,0,0,0,0,0,0,0,0,0.776877905,NO
0,0,0,0,0,0,0,0,0,0,0.840392369,NO
0,0,0,0,0,0,0,0,0,0,0.934568047,NO
0,0,0,0,0,0,0,0,0,0,1.051996821,NO
0,0,0,0,0,0,0,0,0,0,1.162138264,NO
0,0,0,0,0,0,0,0,0,0,1.260156519,NO
0,0,0,0,0,0,0,0,0,0,1.33356289,NO
0,0,0,0,0,0,0,0,0,0,1.402695457,NO
0,0,0,0,0,0,0,0,0,0,1.45395364,NO
